case,variant,lufs_ff,tp_ff,lufs_own,tp_own,static_gain_db,cap_bound,max_gr_db,mean_gr_db,pct_gr_gt1db,logmel_l1,logmel_l1_p99,crest_db,plr_db,wer,word_errors,hyp
af_heart/long,L2-150,-16.0,-1.5,-16.04,-1.55,10.16,False,5.14,0.28,9.16,0.0547,0.2626,14.79,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,L3-60,-17.7,-1.5,-17.66,-1.52,8.05,True,3.0,0.028,0.63,0.0163,0.0857,16.41,16.2,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,L3-150,-17.7,-1.5,-17.71,-1.52,8.05,True,3.0,0.057,1.35,0.0174,0.1244,16.46,16.2,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/short,raw,-25.7,-8.7,,,,,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,0,"Hello there, welcome back."
af_bella/short,B,-18.4,-1.5,-18.42,-1.5,7.29,,0.0,0.0,0.0,0.0009,0.0021,18.0,16.9,0.0,0,"Hello there, welcome back."
af_bella/short,L1-60,-16.0,-1.5,-16.03,-1.55,10.62,False,3.38,0.14,3.92,0.0554,0.1823,15.93,14.5,0.0,0,"Hello there, welcome back."
af_bella/short,L1-150,-16.0,-1.5,-16.04,-1.55,11.56,False,4.32,0.427,14.46,0.0917,0.2216,15.95,14.5,0.0,0,"Hello there, welcome back."
af_bella/short,L2-60,-16.0,-1.5,-16.03,-1.55,10.62,False,3.38,0.14,3.92,0.0554,0.1823,15.93,14.5,0.0,0,"Hello there, welcome back."
af_bella/short,L2-150,-16.0,-1.5,-16.04,-1.55,11.56,False,4.32,0.427,14.46,0.0917,0.2216,15.95,14.5,0.0,0,"Hello there, welcome back."
af_bella/short,L3-60,-16.3,-1.5,-16.24,-1.52,10.27,True,3.0,0.112,3.56,0.0542,0.1565,16.13,14.8,0.0,0,"Hello there, welcome back."
af_bella/short,L3-150,-16.6,-1.5,-16.63,-1.52,10.27,True,3.0,0.227,7.43,0.0649,0.1578,16.52,15.1,0.0,0,"Hello there, welcome back."
af_bella/medium,raw,-24.8,-8.5,,,,,0.0,0.0,0.0,0.0,0.0,16.77,16.3,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,B,-17.8,-1.5,-17.82,-1.5,6.96,,0.0,0.0,0.0,0.0041,0.0052,16.77,16.3,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L1-60,-16.0,-1.5,-16.03,-1.55,8.93,False,2.02,0.038,0.98,0.0137,0.0998,14.94,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L1-150,-16.0,-1.5,-16.02,-1.55,9.07,False,2.17,0.092,2.24,0.0251,0.1423,14.93,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L2-60,-16.0,-1.5,-16.03,-1.55,8.93,False,2.02,0.038,0.98,0.0137,0.0998,14.94,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L2-150,-16.0,-1.5,-16.02,-1.55,9.07,False,2.17,0.092,2.24,0.0251,0.1423,14.93,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L3-60,-16.0,-1.5,-16.03,-1.55,8.93,False,2.02,0.038,0.98,0.0137,0.0998,14.94,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/medium,L3-150,-16.0,-1.5,-16.02,-1.55,9.07,False,2.17,0.092,2.24,0.0251,0.1423,14.93,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_bella/long,raw,-24.4,-6.0,,,,,0.0,0.0,0.0,0.0,0.0,18.28,18.4,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,B,-19.9,-1.5,-19.92,-1.5,4.52,,0.0,0.0,0.0,0.0025,0.0042,18.28,18.4,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L1-60,-16.0,-1.5,-16.03,-1.55,8.66,False,4.18,0.052,1.53,0.0272,0.1228,14.68,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L1-150,-16.0,-1.5,-16.01,-1.55,8.8,False,4.33,0.111,3.2,0.0396,0.1625,14.67,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L2-60,-16.0,-1.5,-16.03,-1.55,8.66,False,4.18,0.052,1.53,0.0272,0.1228,14.68,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L2-150,-16.0,-1.5,-16.01,-1.55,8.8,False,4.33,0.111,3.2,0.0396,0.1625,14.67,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L3-60,-17.1,-1.5,-17.06,-1.52,7.5,True,3.0,0.018,0.52,0.0203,0.0391,15.69,15.6,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_bella/long,L3-150,-17.1,-1.5,-17.11,-1.52,7.5,True,3.0,0.036,0.82,0.0205,0.0792,15.74,15.6,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/short,raw,-26.7,-10.5,,,,,0.0,0.0,0.0,0.0,0.0,17.39,16.2,0.0,0,"Hello there, welcome back."
am_michael/short,B,-17.6,-1.5,-17.64,-1.5,9.03,,0.0,0.0,0.0,0.0055,0.0086,17.39,16.1,0.0,0,"Hello there, welcome back."
am_michael/short,L1-60,-16.1,-1.5,-16.05,-1.55,10.93,False,1.96,0.089,3.2,0.0265,0.1073,15.82,14.6,0.0,0,"Hello there, welcome back."
am_michael/short,L1-150,-16.0,-1.5,-16.03,-1.55,11.33,False,2.35,0.234,9.2,0.0409,0.1364,15.8,14.5,0.0,0,"Hello there, welcome back."
am_michael/short,L2-60,-16.1,-1.5,-16.05,-1.55,10.93,False,1.96,0.089,3.2,0.0265,0.1073,15.82,14.6,0.0,0,"Hello there, welcome back."
am_michael/short,L2-150,-16.0,-1.5,-16.03,-1.55,11.33,False,2.35,0.234,9.2,0.0409,0.1364,15.8,14.5,0.0,0,"Hello there, welcome back."
am_michael/short,L3-60,-16.1,-1.5,-16.05,-1.55,10.93,False,1.96,0.089,3.2,0.0265,0.1073,15.82,14.6,0.0,0,"Hello there, welcome back."
am_michael/short,L3-150,-16.0,-1.5,-16.03,-1.55,11.33,False,2.35,0.234,9.2,0.0409,0.1364,15.8,14.5,0.0,0,"Hello there, welcome back."
am_michael/medium,raw,-27.6,-8.1,,,,,0.0,0.0,0.0,0.0,0.0,20.1,19.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,B,-21.0,-1.5,-20.99,-1.5,6.61,,0.0,0.0,0.0,0.0014,0.0027,20.1,19.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L1-60,-16.0,-1.5,-16.04,-1.55,12.38,False,5.82,0.265,9.02,0.0759,0.3248,15.14,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L1-150,-16.0,-1.5,-16.02,-1.55,12.67,False,6.11,0.518,17.95,0.0932,0.3525,15.1,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L2-60,-16.0,-1.5,-16.04,-1.55,12.38,False,5.82,0.265,9.02,0.0759,0.3248,15.14,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L2-150,-16.1,-1.5,-16.08,-1.52,12.59,True,6.0,0.507,17.58,0.0938,0.3433,15.19,14.6,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L3-60,-18.2,-1.5,-18.23,-1.52,9.59,True,3.0,0.052,1.53,0.0214,0.1174,17.34,16.7,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/medium,L3-150,-18.3,-1.5,-18.27,-1.5,9.61,True,3.0,0.11,3.16,0.0321,0.1844,17.4,16.8,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
am_michael/long,raw,-27.7,-4.2,,,,,0.0,0.0,0.0,0.0,0.0,23.88,23.5,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,B,-25.0,-1.5,-25.03,-1.5,2.68,,0.0,0.0,0.0,0.0024,0.0042,23.88,23.5,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L1-60,-16.0,-1.5,-16.02,-1.55,12.77,False,10.14,0.337,10.35,0.1057,0.4763,14.86,14.5,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L1-150,-16.1,-1.5,-16.05,-1.55,13.12,False,10.49,0.649,20.27,0.1309,0.5248,14.88,14.6,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L2-60,-19.3,-1.5,-19.29,-1.52,8.66,True,6.0,0.047,1.42,0.0292,0.1673,18.13,17.8,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L2-150,-19.3,-1.5,-19.34,-1.52,8.66,True,6.0,0.09,2.74,0.0309,0.207,18.18,17.8,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L3-60,-22.1,-1.5,-22.12,-1.52,5.66,True,3.0,0.01,0.35,0.0071,0.0075,20.95,20.6,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
am_michael/long,L3-150,-22.1,-1.5,-22.13,-1.52,5.66,True,3.0,0.019,0.69,0.008,0.0628,20.97,20.6,0.0417,3,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kakoral model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/short,raw,-22.9,-8.5,,,,,0.0,0.0,0.0,0.0,0.0,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,B,-16.0,-1.6,-16.0,-1.62,6.86,,0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L1-60,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L1-150,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L2-60,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L2-150,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L3-60,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/short,L3-150,-16.0,-1.6,-16.0,-1.62,6.86,False,-0.0,0.0,0.0,0.0033,0.0051,16.04,14.4,0.0,0,"Hello there, welcome back."
bf_emma/medium,raw,-23.7,-5.2,,,,,0.0,0.0,0.0,0.0,0.0,19.12,18.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,B,-20.0,-1.5,-19.99,-1.5,3.67,,0.0,0.0,0.0,0.0033,0.0042,19.12,18.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L1-60,-16.0,-1.5,-16.04,-1.55,7.93,False,4.31,0.105,2.76,0.0264,0.291,15.45,14.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L1-150,-16.0,-1.5,-16.02,-1.55,8.09,False,4.47,0.215,6.33,0.0398,0.3409,15.42,14.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L2-60,-16.0,-1.5,-16.04,-1.55,7.93,False,4.31,0.105,2.76,0.0264,0.291,15.45,14.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L2-150,-16.0,-1.5,-16.02,-1.55,8.09,False,4.47,0.215,6.33,0.0398,0.3409,15.42,14.5,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L3-60,-17.2,-1.5,-17.16,-1.52,6.65,True,3.0,0.042,1.44,0.0166,0.1977,16.55,15.7,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/medium,L3-150,-17.2,-1.5,-17.19,-1.52,6.65,True,3.0,0.078,2.77,0.0191,0.2304,16.58,15.7,0.0,0,"Natural Text-to-Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bf_emma/long,raw,-23.8,-5.8,,,,,0.0,0.0,0.0,0.0,0.0,18.71,18.0,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,B,-19.5,-1.5,-19.49,-1.5,4.28,,0.0,0.0,0.0,0.0017,0.003,18.71,18.0,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L1-60,-16.0,-1.5,-16.02,-1.55,8.2,False,3.96,0.159,5.6,0.041,0.1918,15.26,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L1-150,-16.0,-1.5,-16.02,-1.55,8.43,False,4.19,0.337,12.34,0.0556,0.2274,15.26,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L2-60,-16.0,-1.5,-16.02,-1.55,8.2,False,3.96,0.159,5.6,0.041,0.1918,15.26,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L2-150,-16.0,-1.5,-16.02,-1.55,8.43,False,4.19,0.337,12.34,0.0556,0.2274,15.26,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L3-60,-16.7,-1.5,-16.74,-1.52,7.26,True,3.0,0.079,2.12,0.0194,0.1268,15.96,15.2,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bf_emma/long,L3-150,-16.8,-1.5,-16.82,-1.52,7.26,True,3.0,0.153,4.14,0.0277,0.1598,16.04,15.3,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
bm_george/short,raw,-24.1,-9.5,,,,,0.0,0.0,0.0,0.0,0.0,15.12,14.6,0.0,0,"Hello there, welcome back."
bm_george/short,B,-16.1,-1.5,-16.14,-1.5,7.99,,0.0,0.0,0.0,0.001,0.0018,15.12,14.6,0.0,0,"Hello there, welcome back."
bm_george/short,L1-60,-16.0,-1.5,-16.02,-1.55,8.13,False,0.19,0.005,0.0,0.0027,0.0118,14.95,14.5,0.0,0,"Hello there, welcome back."
bm_george/short,L1-150,-16.0,-1.5,-16.04,-1.55,8.13,False,0.19,0.012,0.0,0.0027,0.0145,14.97,14.5,0.0,0,"Hello there, welcome back."
bm_george/short,L2-60,-16.0,-1.5,-16.02,-1.55,8.13,False,0.19,0.005,0.0,0.0027,0.0118,14.95,14.5,0.0,0,"Hello there, welcome back."
bm_george/short,L2-150,-16.0,-1.5,-16.04,-1.55,8.13,False,0.19,0.012,0.0,0.0027,0.0145,14.97,14.5,0.0,0,"Hello there, welcome back."
bm_george/short,L3-60,-16.0,-1.5,-16.02,-1.55,8.13,False,0.19,0.005,0.0,0.0027,0.0118,14.95,14.5,0.0,0,"Hello there, welcome back."
bm_george/short,L3-150,-16.0,-1.5,-16.04,-1.55,8.13,False,0.19,0.012,0.0,0.0027,0.0145,14.97,14.5,0.0,0,"Hello there, welcome back."
bm_george/medium,raw,-25.0,-9.0,,,,,0.0,0.0,0.0,0.0,0.0,15.55,16.0,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,B,-17.4,-1.5,-17.45,-1.5,7.54,,0.0,0.0,0.0,0.0053,0.0068,15.55,15.9,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L1-60,-16.0,-1.5,-16.03,-1.55,8.99,False,1.5,0.015,0.35,0.0032,0.0642,14.3,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L1-150,-16.0,-1.5,-16.0,-1.55,9.04,False,1.55,0.038,0.83,0.0069,0.1044,14.27,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L2-60,-16.0,-1.5,-16.03,-1.55,8.99,False,1.5,0.015,0.35,0.0032,0.0642,14.3,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L2-150,-16.0,-1.5,-16.0,-1.55,9.04,False,1.55,0.038,0.83,0.0069,0.1044,14.27,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L3-60,-16.0,-1.5,-16.03,-1.55,8.99,False,1.5,0.015,0.35,0.0032,0.0642,14.3,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
bm_george/medium,L3-150,-16.0,-1.5,-16.0,-1.55,9.04,False,1.55,0.038,0.83,0.0069,0.1044,14.27,14.5,0.0,0,"Natural Text to Speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
